ID,Adoption Date,Species
FLRN-FC-21-0095,1/31/21,Cat
FLRN-MD-21-0165,1/31/21,Dog
FRKN-FD-21-0161,1/31/21,Dog
FLRN-MD-21-0136,1/31/21,Dog
FLRN-FD-20-3484,1/31/21,Dog
FLRN-FD-21-0233,1/31/21,Dog
FRKN-MD-21-0034,1/31/21,Dog
FLRN-FD-20-3439,1/31/21,Dog
FRKN-FD-21-0111,1/30/21,Dog
FLRN-FD-20-2916,1/30/21,Dog
FLRN-FD-21-0130,1/30/21,Dog
FLRN-MD-21-0166,1/30/21,Dog
FRKN-MD-21-0162,1/30/21,Dog
NPHT-FD-20-2432,1/30/21,Dog
FLRN-MD-21-0139,1/30/21,Dog
FLRN-FC-21-0099,1/30/21,Cat
FLRN-FC-21-0145,1/30/21,Cat
FLRN-FD-21-0180,1/30/21,Dog
FRKN-MD-21-0160,1/30/21,Dog
FLRN-FD-20-1403,1/30/21,Dog
FLRN-FD-21-0186,1/30/21,Dog
FLRN-MD-21-0189,1/30/21,Dog
FLRN-MD-20-3295,1/30/21,Dog
OTHR-FD-21-0226,1/30/21,Dog
HERT-FC-21-0193,1/30/21,Cat
HERT-MC-21-0196,1/30/21,Cat
HERT-FC-21-0197,1/30/21,Cat
FLRN-MC-21-0192,1/30/21,Cat
HERT-MC-21-0207,1/30/21,Cat
HERT-FC-21-0202,1/30/21,Cat
HERT-MC-21-0200,1/30/21,Cat
HERT-FC-21-0201,1/30/21,Cat
HERT-FC-21-0199,1/30/21,Cat
HERT-MC-21-0203,1/30/21,Cat
HERT-MC-21-0198,1/30/21,Cat
HERT-FC-21-0208,1/30/21,Cat
HERT-MC-21-0204,1/30/21,Cat
HERT-MC-21-0205,1/30/21,Cat
LACS-FD-20-3390,1/30/21,Dog
LACS-FD-20-3391,1/30/21,Dog
ASSC-MD-21-0150,1/29/21,Dog
ASSC-MD-21-0170,1/29/21,Dog
ASSC-MD-21-0171,1/29/21,Dog
ASSC-MD-21-0173,1/29/21,Dog
ASSC-FD-21-0174,1/29/21,Dog
ASSC-FD-21-0176,1/29/21,Dog
ASSC-MD-21-0177,1/29/21,Dog
FLRN-MD-20-2877,1/29/21,Dog
FLRN-FD-21-0044,1/29/21,Dog
FLRN-FD-21-0135,1/29/21,Dog
FLRN-MD-21-0132,1/29/21,Dog
FLRN-MD-21-0141,1/29/21,Dog
FLRN-FD-21-0144,1/29/21,Dog
FLRN-FC-21-0092,1/29/21,Cat
LAPS-MD-21-0110,1/28/21,Dog
FLRN-MD-21-0168,1/28/21,Dog
FLRN-FC-21-0086,1/28/21,Cat
FLRN-FD-21-0072,1/27/21,Dog
FLRN-FD-21-0167,1/27/21,Dog
LACS-FD-21-0063,1/27/21,Dog
LAPS-MD-21-0107,1/27/21,Dog
