Animal ID,Name,Species,Primary Breed,Secondary Breed,Primary Color,Secondary Color,Age Group At Outcome,Previous Intake Type,Source Shelter,Outcome Subtype,Episode Index,Previous Intake Date,Outcome Date,LOS (days),Adoption Channel (derived)
LDDC-A-2671,Mouse,Cat,Domestic Shorthair,—,Grey,White,Adult Cat,Transfer In,"64821, FLRN-FC-23-2729, FLRN-A-5666",Adoption from Foster,1,2023-12-30,2024-01-02,3,From Foster
LDDC-A-2650,Freddy,Cat,Domestic Medium Hair,—,Tortoise,—,Adult Cat,Transfer In,PPCA-A-8642,Meo Maison Cat Cafe Adoption,1,2023-12-30,2024-01-02,3,Cat Café
LDDC-A-2692,Tori,Cat,Domestic Shorthair,—,Grey,Tortoise,Kitten,Transfer In,"64444-2, FLRN-FC-23-2713, FLRN-A-5450",PetSmart Meeting,1,2023-12-30,2024-01-02,3,PetSmart
LDDC-A-2633,Lil Filburt,Cat,Domestic Medium Hair,—,Buff,White,Kitten,Transfer In,PPCA-A-8898,Adoption from Foster,1,2023-12-30,2024-01-02,3,From Foster
LDDC-A-2632,Lil Heffer,Cat,Domestic Medium Hair,—,Calico,—,Kitten,Transfer In,PPCA-A-8899,Adoption from Foster,1,2023-12-30,2024-01-02,3,From Foster
LDDC-A-1938,Eclectic,Cat,Domestic Shorthair,—,Tortoise,—,Adult Cat,Transfer In,"230472, FLRN-FC-23-2350, FLRN-A-4783",Meo Maison Cat Cafe Adoption,1,2023-11-04,2024-01-03,60,Cat Café
LDDC-A-2725,Seraphine,Cat,Domestic Shorthair,—,Grey,—,Adult Cat,Owner Surrender,FRKN-FC-23-0328,Adoption from Foster,1,2023-12-17,2024-01-03,17,From Foster
LDDC-A-2698,Prince,Dog,Terrier,Mix,White,Tan,Adult Dog,Transfer In,"64705, FLRN-MD-23-2691, FLRN-A-5594",Adoption from Foster,1,2023-12-30,2024-01-03,4,From Foster
LDDC-A-2635,Lil Spunky,Cat,Domestic Medium Hair,—,Grey,—,Kitten,Transfer In,PPCA-A-8896,Adoption from Foster,1,2023-12-30,2024-01-04,5,From Foster
LDDC-A-1941,Fizzy,Cat,Domestic Shorthair,—,Calico,—,Adult Cat,Transfer In,"23216, FLRN-FC-23-2435, FLRN-A-5502",Foster Adopted,1,2023-11-18,2024-01-04,47,From Foster
LDDC-A-2670,Sugar Cookie,Dog,Shepherd,Mix,Brown,Black,Puppy,Transfer In,"23239, FLRN-FD-23-2358, FLRN-A-5735",PetSmart Meeting,1,2023-12-30,2024-01-05,6,PetSmart
LDDC-A-2621,Nellie,Cat,Domestic Shorthair,—,Black,White,Kitten,Service In,"PPCA-A-7908, LDDC-A-1786, 23226-2, FRKN-FC-23-1898, FLRN-A-5351",Adoption from Foster,1,2023-12-16,2024-01-05,20,From Foster
LDDC-A-2651,Lady Kev,Cat,Domestic Shorthair,—,White,—,Adult Cat,Transfer In,"PPCA-A-8725, FRKN-FC-23-2746",Meo Maison Cat Cafe Adoption,1,2023-12-30,2024-01-05,6,Cat Café
LDDC-A-2640,Garland,Cat,Domestic Shorthair,—,Brown,—,Kitten,Transfer In,"23231-1, FLRN-FC-23-2702, FLRN-A-5628",Adoption from Foster,1,2023-12-30,2024-01-05,6,From Foster
LDDC-A-2639,Gift,Cat,Domestic Shorthair,—,Brown,White,Kitten,Transfer In,"23231-2, FLRN-FC-23-2703, FLRN-A-5629",Adoption from Foster,1,2023-12-30,2024-01-05,6,From Foster
LDDC-A-1899,Jamar,Dog,Shepherd,—,Red/Mahogany,White,Adult Dog,Transfer In,FLRN-MD-23-2498,Adoption from Foster,1,2023-12-01,2024-01-05,35,From Foster
LDDC-A-1903,Bert,Cat,Domestic Shorthair,—,Black,—,Kitten,Transfer In,WISE-MC-23-2533,Meo Maison Cat Cafe Adoption,1,2023-12-01,2024-01-06,36,Cat Café
LDDC-A-2675,Leo,Dog,Terrier,Mix,Red/Mahogany,Chocolate,Puppy,Transfer In,"64820-8, FLRN-MD-23-2681, FLRN-A-5647",Petco Adoption Event,1,2023-12-30,2024-01-06,7,Weekend Event
